Country,Year,Agricultural land (% of land area),Agricultural land (sq. km),Arable land (hectares),Crop production index (2014-2016 = 100),Average precipitation in depth (mm per year),Land area (sq. km),"Food production index (gross, 1999-2001 = 100)","Pesticides imports (FAO, current US$)","Agricultural machinery, tractors per 100 sq. km of arable land",Agriculture production index (1999-2001 = 100),Fertilizer consumption (kilograms per hectare of arable land),"Agriculture, forestry, and fishing, value added (% of GDP)","Agricultural population (FAO, number)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Economically active population in agriculture, female (FAO, number)","Economically active population in agriculture, male (FAO, number)"
Burundi,1960-01-01,,,,,,,,,,,,,,,,
Burundi,1961-01-01,61.3317757009346,15750.0,675000.0,49.34,1274.0,25680.0,64.06,50000.0,0.0296296296296296,63.37,,,,,,
Burundi,1962-01-01,61.9158878504673,15900.0,700000.0,49.18,1274.0,25680.0,64.34,60000.0,0.0285714285714286,63.29,,,,,,
Burundi,1963-01-01,62.4610591900312,16040.0,724000.0,48.98,1274.0,25680.0,65.26,80000.0,0.0276243093922652,63.3,,,,,,
Burundi,1964-01-01,62.5,16050.0,744000.0,54.31,1274.0,25680.0,70.4,100000.0,0.0268817204301075,69.74,,,,,,
Burundi,1965-01-01,63.2398753894081,16240.0,756000.0,53.79,1274.0,25680.0,70.79,120000.0,0.0264550264550265,69.6,,,,,,
Burundi,1966-01-01,63.1230529595016,16210.0,753000.0,54.05,1274.0,25680.0,71.16,140000.0,0.0265604249667995,69.98,0.132802124833997,,,,,
Burundi,1967-01-01,64.8753894080997,16660.0,788000.0,56.56,1274.0,25680.0,73.9,160000.0,0.0380710659898477,73.2,0.126903553299492,,,,,
Burundi,1968-01-01,65.2647975077882,16760.0,800000.0,57.67,1274.0,25680.0,76.04,180000.0,0.0375,75.03,0.125,,,,,
Burundi,1969-01-01,73.8707165109034,18970.0,992000.0,56.66,1274.0,25680.0,75.87,200000.0,0.030241935483871,74.53,0.256048387096774,,,,,
Burundi,1970-01-01,73.208722741433,18800.0,940000.0,58.08,1274.0,25680.0,76.65,250000.0,0.0425531914893617,76.13,0.590425531914894,65.3313935147911,,,,
Burundi,1971-01-01,73.9485981308411,18990.0,929000.0,59.77,1274.0,25680.0,78.42,300000.0,0.0430570505920344,78.46,0.848223896663079,64.7617713131167,,,,
Burundi,1972-01-01,74.2211838006231,19060.0,896000.0,53.64,1274.0,25680.0,71.99,350000.0,0.0334821428571429,71.17,0.899553571428571,60.7731276105096,,,,
Burundi,1973-01-01,77.8816199376947,20000.0,930000.0,60.47,1274.0,25680.0,80.69,423000.0,0.043010752688172,80.2,0.624731182795699,63.3136386218903,,,,
Burundi,1974-01-01,79.0498442367601,20300.0,930000.0,56.58,1274.0,25680.0,75.19,513000.0,0.0537634408602151,75.34,1.02150537634409,61.0342227698192,,,,
Burundi,1975-01-01,80.2180685358256,20600.0,930000.0,60.76,1274.0,25680.0,82.38,1018000.0,0.10752688172043,81.08,0.803225806451613,61.3036042313296,,,,
Burundi,1976-01-01,81.5809968847352,20950.0,935000.0,61.94,1274.0,25680.0,84.1,747000.0,0.160427807486631,83.2,0.567914438502674,59.4754832504215,,,,
Burundi,1977-01-01,83.4501557632399,21430.0,942000.0,63.41,1274.0,25680.0,86.02,800000.0,0.212314225053079,84.91,0.805732484076433,55.5801551193022,,,,
Burundi,1978-01-01,82.5545171339564,21200.0,935000.0,60.78,1274.0,25680.0,79.86,610000.0,0.855614973262032,79.67,1.18716577540107,53.9640169481958,,,,
Burundi,1979-01-01,81.7757009345794,21000.0,930000.0,61.34,1274.0,25680.0,80.49,591000.0,0.913978494623656,80.82,0.967741935483871,53.8322491966597,,,,
Burundi,1980-01-01,81.3084112149533,20880.0,930000.0,59.88,1274.0,25680.0,79.31,761000.0,0.967741935483871,78.72,1.18279569892473,57.5719356233857,3847000.0,,1029000.0,813000.0
Burundi,1981-01-01,80.8021806853583,20750.0,930000.0,67.33,1274.0,25680.0,84.09,647000.0,1.02150537634409,86.25,1.18279569892473,58.1425960451394,3961000.0,,1063000.0,838000.0
Burundi,1982-01-01,80.2180685358256,20600.0,930000.0,63.23,1274.0,25680.0,82.81,1200000.0,1.0752688172043,82.35,1.39784946236559,52.6126768285996,4084000.0,,1098000.0,870000.0
Burundi,1983-01-01,80.2180685358256,20600.0,930000.0,63.98,1274.0,25680.0,81.22,2023000.0,1.18279569892473,82.71,2.9752688172043,53.4821872081702,4216000.0,,1135000.0,902000.0
Burundi,1984-01-01,80.2180685358256,20600.0,930000.0,63.04,1274.0,25680.0,81.18,2044000.0,1.29032258064516,81.56,1.94516129032258,54.6598573254013,4352000.0,,1172000.0,936000.0
Burundi,1985-01-01,80.2180685358256,20600.0,930000.0,72.22,1274.0,25680.0,91.85,2060000.0,1.39784946236559,92.71,2.50645161290323,55.9519709491249,4491000.0,,1210000.0,966000.0
Burundi,1986-01-01,81.0747663551402,20820.0,930000.0,75.37,1274.0,25680.0,96.76,2090000.0,1.50537634408602,97.33,3.33333333333333,52.5195880496498,4631000.0,,1246000.0,998000.0
